Symbol,amt
   AAPL Mar 19 2021 127.5 Put  ,466.55999999999995
   AAPL Mar 19 2021 130.0 Put  ,-554.4300000000001
   AAPL Mar 26 2021 128.0 Put  ,-444.42
   AAPL Mar 26 2021 131.0 Put  ,435.55999999999995
   AAPL May 21 2021 120.0 Put  ,-476.71
   AAPL May 21 2021 125.0 Put  ,688.29
   AMD Apr 16 2021 90.0 Call  ,102.29
   AMD Feb 19 2021 90.5 Call  ,-76.41999999999999
   AMD Jan 15 2021 105.0 Call  ,213.28
   AMD Jan 21 2022 80.0 Call  ,-2571.71
   AMD Jan 29 2021 100.0 Call  ,207.28
   AMD Mar 19 2021 100.0 Call  ,235.57
   AMD Mar 19 2021 88.0 Call  ,21.28
   ARKF Apr 16 2021 64.82 Call  ,30.58
   ARKF Jan 20 2023 45.0 Call  ,-1645.71
   ARKF May 21 2021 56.0 Call  ,97.29
   BA Feb 19 2021 185.0 Put  ,-444.42
   BA Feb 19 2021 187.5 Put  ,506.57
   DIS Mar 19 2021 170.0 Put  ,-196.42000000000002
   DIS Mar 19 2021 175.0 Put  ,287.57
   DIS May 21 2021 170.0 Put  ,-385.71
   DIS May 21 2021 175.0 Put  ,516.29
   DKNG Feb 19 2021 59.0 Call  ,-331.41999999999996
   DKNG Jan 21 2022 50.0 Call  ,468.52999999999975
   DKNG Jan 22 2021 59.0 Call  ,105.28
   FB Mar 19 2021 250.0 Put  ,-373.41999999999996
   FB Mar 19 2021 255.0 Put  ,465.56999999999994
   GME  ,504.99
   GOLD Mar 19 2021 20.0 Put  ,-0.4199999999999875
   GOLD Nov 20 2020 26.0 Put  ,-21.419999999999995
   JPM May 21 2021 140.0 Put  ,-238.71
   JPM May 21 2021 145.0 Put  ,362.29
   M Nov 20 2020 6.0 Put  ,4.279999999999999
   NET Feb 19 2021 60.0 Put  ,-98.42000000000002
   NET Feb 19 2021 65.0 Put  ,168.57
   NET Mar 19 2021 75.0 Put  ,471.58
   NET Mar 19 2021 80.0 Put  ,-749.4300000000001
   NIO  ,-231.75
   PTON Mar 19 2021 120.0 Put  ,918.5699999999999
   PTON Mar 19 2021 125.0 Put  ,-1278.43
   QQQ Apr 16 2021 336.0 Call  ,161.29
   QQQ Apr 16 2021 340.0 Call  ,-112.71
   RKT Mar 19 2021 14.89 Put  ,-2.01
   RKT Mar 19 2021 16.0 Put  ,29.29
   SLV Dec 18 2020 21.0 Put  ,15.579999999999998
   SQ Feb 19 2021 210.0 Put  ,-442.41999999999996
   SQ Feb 19 2021 212.5 Put  ,509.57
   SQQQ Dec 18 2020 20.0 Put  ,-30.430000000000007
   SQQQ Mar 19 2021 18.0 Put  ,-6.430000000000007
   SQQQ Nov 20 2020 21.0 Put  ,-70.41999999999999
   STMP Jan 15 2021 185.0 Put  ,-679.4300000000001
   STMP Jan 15 2021 190.0 Put  ,772.56
   T Dec 18 2020 27.0 Put  ,12.579999999999998
   TWTR Nov 20 2020 35.0 Put  ,-0.4200000000000017
   TWTR Nov 20 2020 40.0 Put  ,-46.41999999999999
   TWTR Nov 20 2020 60.0 Call  ,139.57999999999998
   TWTR Nov 20 2020 65.0 Call  ,-77.41999999999999
   WKHS Dec 18 2020 18.0 Put  ,-13.430000000000007
   WKHS Nov 20 2020 20.0 Put  ,21.569999999999993
   WMT Apr 01 2021 125.0 Put  ,-121.41999999999999
   WMT Apr 01 2021 130.0 Put  ,252.58
   XPEV  ,-212.15
