Trade ID,Ticker,Date,Strike,Type,Action,Expiration,DTE,Credit,Debit,Cost
1,UNG,21/9/2020,7,P,BTO,16/10/2020,25,,-5.14,5.14
1,UNG,21/9/2020,16,C,BTO,16/10/2020,25,,-8.14,8.14
1,UNG,21/9/2020,10,P,STO,16/10/2020,25,16.84,,16.84
1,UNG,21/9/2020,13,C,STO,16/10/2020,25,32.84,,32.84
2,FTCH,21/9/2020,23,P,STO,16/10/2020,25,73.84,,73.84
2,FTCH,21/9/2020,23,P,BTC,16/10/2020,25,,-72.14,72.14
3,WKHS,1/10/2020,20,P,STO,20/11/2020,50,319.28,,319.28
4,SQQQ,5/10/2020,21,P,STO,20/11/2020,46,215.29,,215.29
5,FXI,7/10/2020,37,P,BTO,20/11/2020,44,,-29.14,29.14
5,FXI,7/10/2020,47,C,BTO,20/11/2020,44,,-15.14,15.14
5,FXI,7/10/2020,39,P,STO,20/11/2020,44,39.84,,39.84
5,FXI,7/10/2020,45,C,STO,20/11/2020,44,51.84,,51.84
1,UNG,8/10/2020,7,P,EXP,16/10/2020,8,,,0
1,UNG,8/10/2020,16,C,EXP,16/10/2020,8,,,0
1,UNG,8/10/2020,10,P,BTC,16/10/2020,8,,-11.14,11.14
1,UNG,8/10/2020,13,C,BTC,16/10/2020,8,,-15.14,15.14
6,UNG,9/10/2020,7.5,P,BTO,27/11/2020,49,,-34.27,34.27
6,UNG,9/10/2020,15.5,C,BTO,27/11/2020,49,,-68.27,68.27
6,UNG,9/10/2020,10,P,STO,27/11/2020,49,101.71,,101.71
6,UNG,9/10/2020,13,C,STO,27/11/2020,49,149.71,,149.71
4,SQQQ,12/10/2020,21,P,BTC,20/11/2020,39,,-285.71,285.71
7,SQQQ,12/10/2020,20,P,STO,18/12/2020,67,305.28,,305.28
7,SQQQ,12/10/2020,20,P,BTC,18/12/2020,67,,-335.71,335.71
8,SQQQ,12/10/2020,18,P,STO,19/3/2021,158,374.28,,374.28
8,SQQQ,12/10/2020,18,P,BTC,19/3/2021,158,,-380.71,380.71
9,GOLD,19/10/2020,26,P,STO,20/11/2020,32,60.29,,60.29
3,WKHS,21/10/2020,20,P,BTC,20/11/2020,30,,-297.71,297.71
10,WKHS,21/10/2020,18,P,STO,18/12/2020,58,317.28,,317.28
6,UNG,23/10/2020,7.5,P,EXP,27/11/2020,35,,,0
6,UNG,23/10/2020,15.5,C,STC,27/11/2020,35,49.71,,49.71
6,UNG,23/10/2020,10,P,BTC,27/11/2020,35,,-22.27,22.27
6,UNG,23/10/2020,13,C,BTC,27/11/2020,35,,-154.27,154.27
9,GOLD,27/10/2020,26,P,BTC,20/11/2020,24,,-81.71,81.71
11,AMD,28/10/2020,92.5,C,BTO,20/11/2020,23,,-126.14,126.14
11,AMD,28/10/2020,67.5,P,BTO,20/11/2020,23,,-68.14,68.14
11,AMD,28/10/2020,71,P,STO,20/11/2020,23,119.84,,119.84
11,AMD,28/10/2020,91,C,STO,20/11/2020,23,142.84,,142.84
12,TWTR,29/10/2020,35,P,BTO,20/11/2020,22,,-26.71,26.71
12,TWTR,29/10/2020,65,C,BTO,20/11/2020,22,,-86.71,86.71
12,TWTR,29/10/2020,40,P,STO,20/11/2020,22,67.29,,67.29
12,TWTR,29/10/2020,60,C,STO,20/11/2020,22,159.28,,159.28
12,TWTR,30/10/2020,35,P,STC,20/11/2020,21,26.29,,26.29
12,TWTR,30/10/2020,65,C,STC,20/11/2020,21,9.29,,9.29
12,TWTR,30/10/2020,40,P,BTC,20/11/2020,21,,-113.71,113.71
12,TWTR,30/10/2020,60,C,BTC,20/11/2020,21,,-19.71,19.71
10,WKHS,10/11/2020,18,P,BTC,18/12/2020,38,,-330.71,330.71
13,T,10/11/2020,27,P,STO,18/12/2020,38,27.29,,27.29
14,M,10/11/2020,6,P,STO,20/11/2020,10,8.29,,8.29
14,M,16/11/2020,6,P,BTC,20/11/2020,4,,-4.01,4.01
13,T,16/11/2020,27,P,BTC,18/12/2020,32,,-14.71,14.71
15,SLV,16/11/2020,21,P,STO,18/12/2020,32,31.29,,31.29
11,AMD,5/11/2020,92.5,C,STC,20/11/2020,15,34.84,,34.84
11,AMD,5/11/2020,67.5,P,STC,20/11/2020,15,39.84,,39.84
11,AMD,5/11/2020,71,P,BTC,20/11/2020,15,,-74.14,74.14
11,AMD,5/11/2020,91,C,BTC,20/11/2020,15,,-57.14,57.14
16,JD,13/11/2020,79,P,BTO,20/11/2020,7,,-78.14,78.14
16,JD,13/11/2020,99,C,BTO,20/11/2020,7,,-104.14,104.14
16,JD,13/11/2020,81,P,STO,20/11/2020,7,106.84,,106.84
16,JD,13/11/2020,97,C,STO,20/11/2020,7,133.84,,133.84
16,JD,19/11/2020,81,P,BTC,20/11/2020,1,,-15.14,15.14
16,JD,19/11/2020,97,C,BTC,20/11/2020,1,,-6.14,6.14
16,JD,19/11/2020,79,P,STC,20/11/2020,1,6.85,,6.85
16,JD,19/11/2020,99,C,STC,20/11/2020,1,2.85,,2.85
5,FXI,20/11/2020,45,C,BTC,20/11/2020,1,,-213.14,213.14
5,FXI,20/11/2020,47,C,STC,20/11/2020,1,27.85,,27.85
15,SLV,8/12/2020,21,P,BTC,18/12/2020,10,,-15.71,15.71
17,STMP,12/11/2020,190,P,STO,01/15/21,35,1123.27,,1123.27
17,STMP,12/11/2020,185,P,BTO,01/15/21,35,,-938.71,938.71
18,AMD,12/11/2020,185,C,STO,01/15/21,35,217.29,,217.29
18,AMD,12/11/2020,80,C,BTO,01/21/22,406,,-2571.71,2571.71
17,STMP,21/12/2020,190,P,BTC,01/15/21,25,,-350.71,350.71
17,STMP,21/12/2020,185,P,STC,01/15/21,25,259.28,,259.28
19,ATVI,3/12/2020,72.5,P,BTO,01/15/21,43,,-111.14,111.14
19,ATVI,3/12/2020,75,P,STO,01/15/21,43,169.84,,169.84
19,ATVI,10/12/2020,72.5,P,STC,01/15/21,36,80.14,,80.14
19,ATVI,10/12/2020,75,P,BTC,01/15/21,36,,-48.84,48.84
20,NET,7/1/2021,65,P,STO,02/19/21,43,261.28,,261.28
20,NET,7/1/2021,60,P,BTO,02/19/21,43,,-143.71,143.71
18,AMD,13/1/2021,105,C,BTC,01/15/21,2,,-4.01,4.01
18,AMD,13/1/2021,100,C,STO,01/29/21,16,208.29,,208.29
21,DKNG,14/1/2021,59,C,BTO,01/21/22,372,,-1767.71,1767.71
21,DKNG,14/1/2021,50,C,STO,01/22/21,8,108.29,,108.29
21,DKNG,22/1/2021,59,C,BTC,01/22/21,1,,-3.01,3.01
21,DKNG,22/1/2021,59,C,STO,02/19/21,28,163.29,,163.29
22,BA,28/1/2021,187.5,P,STO,02/19/21,22,592.28,,592.28
22,BA,28/1/2021,185,P,BTO,02/19/21,22,,-513.71,513.71
23,AAPL,8/1/2021,115,P,BTO,02/19/21,42,,-216.14,216.14
23,AAPL,8/1/2021,120,P,STO,02/19/21,42,335.84,,335.84
24,BB,26/1/2021,9,P,BTO,02/19/21,24,,-56.14,56.14
24,BB,26/1/2021,14,P,STO,02/19/21,24,221.84,,221.84
25,NOK,26/1/2021,7,C,BTO,2/5/2021,10,,-90.27,90.27
26,NOK,26/1/2021,5.5,C,BTO,2/12/2021,17,,-66.14,66.14
27,NOK,26/1/2021,10,C,BTO,01/20/23,724,,-151.14,151.14
23,AAPL,26/1/2021,120,P,BTC,02/19/21,24,,-65.14,65.14
23,AAPL,26/1/2021,115,P,STC,02/19/21,24,40.84,,40.84
25,NOK,28/1/2021,7,C,STC,2/5/2021,8,261.68,,261.68
24,BB,4/2/2021,9,P,STC,02/19/21,15,24.84,,24.84
24,BB,4/2/2021,14,P,BTC,02/19/21,15,,-292.14,292.14
